category,item,xero_account_code,contract_budget,uncommitted,complete_on_site,hc_next_claim,hc_received,sc_invoiced,sc_paid,notes
Site Prep and Prelims,Site Amenities,314,10000,10000,0,0,0,0,0,0
Site Prep and Prelims,Temp Driveway,314,1761,1761,0,0,0,0,0,0
Site Prep and Prelims,Security Fencing S/I,314,3715,3715,0,0,0,0,0,0
Site Prep and Prelims,Sediment/Silt Fencing S/I,314,2355,2355,0,0,0,0,0,0
Site Prep and Prelims,Electrical - Temp Electrical Supply,314,75000,75000,0,0,0,0,0,0
Site Prep and Prelims,Security Camera,314,955,955,0,0,0,0,0,0
Site Prep and Prelims,Rubbish Removal,314,1744.275,1744.275,0,0,0,0,0,0
Site Prep and Prelims,PM Fee,314,51200,51200,0,0,0,0,0,0
Site Prep and Prelims,Site Sup,314,20000,20000,0,0,0,0,0,0
Site Prep and Prelims,Construction Insurance,314,17069.32488,17069.32488,0,0,0,0,0,0
Site Prep and Prelims,Unexpected Line Items,314,16615.368,16615.368,0,0,0,0,0,0
Site Prep and Prelims,Builder Minor Works,314,16615.368,16615.368,0,0,0,0,0,0
Site Prep and Prelims,Build Margin,314,206034.044,206034.044,0,0,0,0,0,0
Earthworks,Bulk Earthworks,314,82539.85,82539.85,0,0,0,0,0,0
Earthworks,Stormwater Works,314,45759,45759,0,0,0,0,0,0
Earthworks,Detailed Earthworks,314,143632.45,143632.45,0,0,0,0,0,0
Earthworks,Detention Tank,314,75000,75000,0,0,0,0,0,0
Earthworks,Hydraulic - Retenton Tank,314,15000,15000,0,0,0,0,0,0
Earthworks,Fill Disposal,314,28804.87,28804.87,0,0,0,0,0,0
Earthworks,Imported Fill,314,0,0,0,0,0,0,0,0
Earthworks,Retaining Walls,314,122500,122500,0,0,0,0,0,0
Earthworks,Elec - in ground,314,42266.47,42266.47,0,0,0,0,0,0
Foundations,Temporary Footings Piers,314,38000,38000,0,0,0,0,0,0
Foundations,Permanent Piers,314,41399,41399,0,0,0,0,0,0
Structure,Ground Slab,314,290712.5,290712.5,0,0,0,0,0,0
Structure,Steel - Supply,314,247883.995,247883.995,0,0,0,0,0,0
Structure,Steel - Install,314,0,0,0,0,0,0,0,0
Structure,Precast Walls,314,941843.7,941843.7,0,0,0,0,0,0
Structure,Structural Steel,314,90000,90000,0,0,0,0,0,0
Mezzanine,Flooring S/I,314,20160,20160,0,0,0,0,0,0
Mezzanine,Balustrades,314,27000,27000,0,0,0,0,0,0
Mezzanine,Stairs and Treads,314,135000,135000,0,0,0,0,0,0
Mezzanine,Handrail,314,18900,18900,0,0,0,0,0,0
Mezzanine,Full mezz package,314,0,0,0,0,0,0,0,0
Roof,Roof Panels,314,219778.65,219778.65,0,0,0,0,0,0
Roof,Downpipes,314,10000,10000,0,0,0,0,0,0
Roof,Panels over/under awnings,314,20931.3,20931.3,0,0,0,0,0,0
Car Park,Car Park Slab,314,302112.5,302112.5,0,0,0,0,0,0
Car Park,Courtyards,314,14400,14400,0,0,0,0,0,0
Car Park,Kerb,314,15000,15000,0,0,0,0,0,0
Car Park,Crossover,314,10000,10000,0,0,0,0,0,0
External Works,Awnings,314,0,0,0,0,0,0,0,0
External Works,Landscaping,314,26806,26806,0,0,0,0,0,0
External Works,Chain Mesh Fencing S/I,314,9660,9660,0,0,0,0,0,0
External Works,Gate and Front Fence S/I,314,24933.4056,24933.4056,0,0,0,0,0,0
External Works,Wheel stops S/I,314,1861.92,1861.92,0,0,0,0,0,0
External Works,Bollards S/I,314,1896.7,1896.7,0,0,0,0,0,0
External Works,Letterbox S/I,314,500,500,0,0,0,0,0,0
External Works,Signage S/I,314,10000,10000,0,0,0,0,0,0
External Works,Line Painting,314,4050,4050,0,0,0,0,0,0
External Works,Paint and Mineral Supply,314,9401.197817,9401.197817,0,0,0,0,0,0
External Works,External Painting Install,314,15041.91651,15041.91651,0,0,0,0,0,0
External Works,Cladding S/I,314,0,0,0,0,0,0,0,0
External Works,Louvres S/I,314,50000,50000,0,0,0,0,0,0
Fitout,Plumbing Tradesman,314,88947.43,88947.43,0,0,0,0,0,0
Fitout,Fire Hydrant,314,42000,42000,0,0,0,0,0,0
Fitout,Windows Supply,314,51165.4,51165.4,0,0,0,0,0,0
Fitout,Windows Install,314,19187.025,19187.025,0,0,0,0,0,0
Fitout,Entry Doors Supply,314,13000,13000,0,0,0,0,0,0
Fitout,Entry Doors Install,314,0,0,0,0,0,0,0,0
Fitout,Roller Doors S/I,314,58500,58500,0,0,0,0,0,0
Fitout,Bathroom Pods S/I,314,260000,260000,0,0,0,0,0,0
Fitout,Electrical Tradesman,314,162500,162500,0,0,0,0,0,0
Fitout,Kitchenettes Supply,314,58500,58500,0,0,0,0,0,0
Fitout,Kitchenettes Install,314,0,0,0,0,0,0,0,0
Fitout,Fire Extinguishers S/I,314,2756,2756,0,0,0,0,0,0
Fitout,Instant HW Supply,314,16250,16250,0,0,0,0,0,0
Fitout,Kitchen tap Supply,314,1300,1300,0,0,0,0,0,0
Fitout,Solar,314,0,0,0,0,0,0,0,0
Fitout,Shipping/transport above to site,314,10000,10000,0,0,0,0,0,0